horodatage,modele,vitesse_coupe_m_min,debit_coupe_l_min,poids_piece_process_g,epaisseur_lubrifiant_process_mm,poids_final_g,epaisseur_lubrifiant_mesuree_mm,conformite_poids,conformite_lubrifiant,conformite_globale,ecart_poids_g,ecart_lubrifiant_mm,regime_anomalie
2026-05-10 18:41:22,PIECE_A,104.824,12.425,445.389,0.1786,451.441,0.2749,OK,OK,OK,1.441,-0.0251,normal
2026-05-10 18:41:27,PIECE_A,144.537,16.494,453.611,0.2647,451.012,0.2887,OK,OK,OK,1.012,-0.0113,normal
2026-05-10 18:41:32,PIECE_A,175.38,5.107,446.012,0.2679,450.231,0.2826,OK,OK,OK,0.231,-0.0174,normal
2026-05-10 18:41:37,PIECE_A,97.143,10.033,458.562,0.2555,449.943,0.2918,OK,OK,OK,-0.057,-0.0082,normal
2026-05-10 18:41:42,PIECE_A,101.625,18.848,451.978,0.3292,451.294,0.3142,OK,OK,OK,1.294,0.0142,normal
2026-05-10 18:41:47,PIECE_A,130.096,14.02,446.369,0.3639,450.405,0.3278,OK,OK,OK,0.405,0.0278,normal
2026-05-10 18:41:52,PIECE_A,152.773,11.513,445.229,0.4694,449.461,0.3345,OK,OK,OK,-0.539,0.0345,normal
2026-05-10 18:41:57,PIECE_A,176.804,15.458,451.779,0.202,450.285,0.2875,OK,OK,OK,0.285,-0.0125,normal
2026-05-10 18:42:02,PIECE_A,178.421,15.82,445.9,0.4186,449.157,0.3373,OK,OK,OK,-0.843,0.0373,normal
2026-05-10 18:42:07,PIECE_A,164.191,8.837,444.759,0.3603,449.023,0.2995,OK,OK,OK,-0.977,-0.0005,normal
2026-05-10 18:44:56,PIECE_A,135.067,5.698,448.009,0.2962,451.156,0.3044,OK,OK,OK,1.156,0.0044,normal
2026-05-10 18:45:01,PIECE_A,156.411,12.643,453.638,0.1988,450.38,0.2602,OK,OK,OK,0.38,-0.0398,normal
2026-05-10 18:45:06,PIECE_A,186.471,15.073,452.117,0.4279,448.682,0.3444,OK,OK,OK,-1.318,0.0444,normal
2026-05-10 18:45:11,PIECE_A,95.668,8.159,456.051,0.3863,449.962,0.3267,OK,OK,OK,-0.038,0.0267,normal
2026-05-10 18:45:16,PIECE_A,131.119,12.496,450.848,0.4232,450.645,0.3258,OK,OK,OK,0.645,0.0258,normal
2026-05-10 18:45:21,PIECE_A,123.777,19.635,458.385,0.2907,450.01,0.2906,OK,OK,OK,0.01,-0.0094,normal
2026-05-10 18:45:26,PIECE_A,182.375,8.314,449.317,0.3111,450.449,0.3279,OK,OK,OK,0.449,0.0279,normal
2026-05-10 18:45:31,PIECE_A,198.213,17.222,444.336,0.3225,449.399,0.2942,OK,OK,OK,-0.601,-0.0058,normal
2026-05-10 18:45:36,PIECE_A,166.841,16.685,456.768,0.1578,448.783,0.2809,OK,OK,OK,-1.217,-0.0191,normal
2026-05-10 18:45:41,PIECE_A,196.903,9.333,443.026,0.3953,450.713,0.3046,OK,OK,OK,0.713,0.0046,normal
2026-05-10 18:45:46,PIECE_A,127.726,5.197,446.001,0.2307,451.115,0.297,OK,OK,OK,1.115,-0.003,normal
2026-05-10 18:45:51,PIECE_A,115.368,17.788,441.586,0.3415,450.119,0.2931,OK,OK,OK,0.119,-0.0069,normal
2026-05-10 18:45:56,PIECE_A,156.782,14.66,458.224,0.3586,450.115,0.3072,OK,OK,OK,0.115,0.0072,normal
2026-05-10 18:46:01,PIECE_A,164.879,15.08,443.755,0.261,450.187,0.3052,OK,OK,OK,0.187,0.0052,normal
2026-05-10 18:46:07,PIECE_A,94.351,7.539,448.126,0.3603,451.121,0.3125,OK,OK,OK,1.121,0.0125,normal
2026-05-10 18:46:12,PIECE_A,169.503,13.87,455.346,0.1333,450.062,0.2503,OK,OK,OK,0.062,-0.0497,normal
2026-05-10 18:46:17,PIECE_A,180.977,14.562,449.327,0.3497,448.966,0.3399,OK,OK,OK,-1.034,0.0399,normal
2026-05-10 18:46:22,PIECE_A,90.346,12.923,445.51,0.2669,449.007,0.2605,OK,OK,OK,-0.993,-0.0395,normal
2026-05-10 18:46:27,PIECE_A,113.825,13.483,452.897,0.2542,449.917,0.2925,OK,OK,OK,-0.083,-0.0075,normal
2026-05-10 18:46:32,PIECE_A,92.12,16.233,447.418,0.1926,450.381,0.2658,OK,OK,OK,0.381,-0.0342,normal
2026-05-10 18:46:37,PIECE_A,121.897,9.429,455.446,0.3415,449.967,0.2865,OK,OK,OK,-0.033,-0.0135,normal
2026-05-10 18:46:42,PIECE_A,92.846,6.951,448.267,0.1226,449.547,0.2742,OK,OK,OK,-0.453,-0.0258,normal
2026-05-10 18:46:47,PIECE_A,84.935,18.724,453.308,0.1819,449.356,0.2666,OK,OK,OK,-0.644,-0.0334,normal
2026-05-10 18:46:52,PIECE_A,197.586,7.411,453.96,0.4927,450.961,0.3421,OK,OK,OK,0.961,0.0421,normal
2026-05-10 18:46:57,PIECE_A,150.17,6.677,455.162,0.3014,449.895,0.3362,OK,OK,OK,-0.105,0.0362,normal
2026-05-10 18:47:02,PIECE_A,97.1,15.246,454.285,0.2121,449.822,0.2819,OK,OK,OK,-0.178,-0.0181,normal
2026-05-10 18:47:07,PIECE_A,80.388,15.241,443.114,0.1469,450.195,0.2871,OK,OK,OK,0.195,-0.0129,normal
2026-05-10 18:47:12,PIECE_A,172.259,17.331,452.432,0.4545,448.999,0.3462,OK,OK,OK,-1.001,0.0462,normal
2026-05-10 18:47:17,PIECE_A,169.809,19.581,442.303,0.3497,449.849,0.3181,OK,OK,OK,-0.151,0.0181,normal
2026-05-10 18:47:22,PIECE_A,188.356,5.651,441.185,0.4691,451.478,0.3441,OK,OK,OK,1.478,0.0441,normal
2026-05-10 18:47:27,PIECE_A,194.018,15.195,454.038,0.4471,449.927,0.3268,OK,OK,OK,-0.073,0.0268,normal
2026-05-10 18:47:32,PIECE_A,185.032,12.249,450.888,0.4651,448.843,0.3605,OK,OK,OK,-1.157,0.0605,normal
2026-05-10 18:47:37,PIECE_A,186.329,14.621,441.207,0.2988,446.701,0.3025,OK,OK,OK,-3.299,0.0025,derive_1
2026-05-10 18:47:42,PIECE_A,115.842,17.332,439.962,0.414,446.022,0.2831,OK,OK,OK,-3.978,-0.0169,derive_2
2026-05-10 18:47:47,PIECE_A,100.787,6.009,440.241,0.228,443.588,0.2401,KO,OK,KO,-6.412,-0.0599,derive_3
2026-05-10 18:47:52,PIECE_A,116.721,6.98,441.128,0.3187,441.889,0.243,KO,OK,KO,-8.111,-0.057,derive_4
2026-05-10 18:47:57,PIECE_A,78.179,5.983,450.928,0.4667,440.996,0.241,KO,OK,KO,-9.004,-0.059,derive_5
2026-05-10 18:48:02,PIECE_A,110.0,5.997,445.076,0.4629,437.582,0.2503,KO,OK,KO,-12.418,-0.0497,derive_6
2026-05-10 18:48:07,PIECE_A,76.863,17.064,439.966,0.1463,435.656,0.1236,KO,OK,KO,-14.344,-0.1764,derive_7
2026-05-10 18:48:12,PIECE_A,130.005,16.415,452.833,0.0767,434.818,0.1121,KO,OK,KO,-15.182,-0.1879,derive_8
2026-05-10 18:48:17,PIECE_A,131.129,11.623,445.747,0.2889,431.687,0.1326,KO,OK,KO,-18.313,-0.1674,derive_9
2026-05-10 18:48:22,PIECE_A,134.137,16.979,439.741,0.0733,430.284,0.0666,KO,KO,KO,-19.716,-0.2334,derive_10
