horodatage,modele,vitesse_coupe_m_min,debit_coupe_l_min,poids_piece_process_g,epaisseur_lubrifiant_process_mm,poids_final_g,epaisseur_lubrifiant_mesuree_mm,conformite_poids,conformite_lubrifiant,conformite_globale,ecart_poids_g,ecart_lubrifiant_mm,regime_anomalie
2026-05-10 18:41:22,PIECE_A,104.824,12.425,445.389,0.1786,451.441,0.2749,OK,OK,OK,1.441,-0.0251,normal
2026-05-10 18:41:27,PIECE_A,144.537,16.494,453.611,0.2647,451.012,0.2887,OK,OK,OK,1.012,-0.0113,normal
2026-05-10 18:41:32,PIECE_A,175.38,5.107,446.012,0.2679,450.231,0.2826,OK,OK,OK,0.231,-0.0174,normal
2026-05-10 18:41:37,PIECE_A,97.143,10.033,458.562,0.2555,449.943,0.2918,OK,OK,OK,-0.057,-0.0082,normal
2026-05-10 18:41:42,PIECE_A,101.625,18.848,451.978,0.3292,451.294,0.3142,OK,OK,OK,1.294,0.0142,normal
2026-05-10 18:41:47,PIECE_A,130.096,14.02,446.369,0.3639,450.405,0.3278,OK,OK,OK,0.405,0.0278,normal
2026-05-10 18:41:52,PIECE_A,152.773,11.513,445.229,0.4694,449.461,0.3345,OK,OK,OK,-0.539,0.0345,normal
2026-05-10 18:41:57,PIECE_A,176.804,15.458,451.779,0.202,450.285,0.2875,OK,OK,OK,0.285,-0.0125,normal
2026-05-10 18:42:02,PIECE_A,178.421,15.82,445.9,0.4186,449.157,0.3373,OK,OK,OK,-0.843,0.0373,normal
2026-05-10 18:42:07,PIECE_A,164.191,8.837,444.759,0.3603,449.023,0.2995,OK,OK,OK,-0.977,-0.0005,normal
