horodatage,modele,fournisseur_matiere,numero_pastille,pastille_retaillee,numero_passage,four_consigne_C,four_reel_C,inducteur_puissance_1_consigne_kW,inducteur_puissance_1_reel_kW,inducteur_puissance_2_consigne_kW,inducteur_puissance_2_reel_kW,pyrometre_inducteur_1_C,pyrometre_inducteur_2_C,frette_int_consigne_C,frette_int_reel_C,frette_ext_consigne_C,frette_ext_reel_C,temps_chauffe_inducteur_s,temps_transition_s,compteur_chauffe_ok,compteur_frappe_ok,machine,nom_recette,diametre_apres_filage_mm,longueur_apres_filage_mm,concentricite_mm,conformite_diametre,conformite_longueur,conformite_concentricite,conformite_globale,ecart_diametre_mm,ecart_longueur_mm,ecart_concentricite_mm,regime_anomalie,inducteur_1_point_1_C,inducteur_1_point_2_C,inducteur_1_point_3_C,inducteur_1_point_4_C,inducteur_2_point_1_C,inducteur_2_point_2_C,inducteur_2_point_3_C,inducteur_2_point_4_C,lvdt_01_consigne_mm,lvdt_01_reel_mm,lvdt_01_ecart_mm,lvdt_02_consigne_mm,lvdt_02_reel_mm,lvdt_02_ecart_mm,lvdt_03_consigne_mm,lvdt_03_reel_mm,lvdt_03_ecart_mm,lvdt_04_consigne_mm,lvdt_04_reel_mm,lvdt_04_ecart_mm,lvdt_05_consigne_mm,lvdt_05_reel_mm,lvdt_05_ecart_mm,lvdt_06_consigne_mm,lvdt_06_reel_mm,lvdt_06_ecart_mm,lvdt_07_consigne_mm,lvdt_07_reel_mm,lvdt_07_ecart_mm,lvdt_08_consigne_mm,lvdt_08_reel_mm,lvdt_08_ecart_mm,lvdt_09_consigne_mm,lvdt_09_reel_mm,lvdt_09_ecart_mm,lvdt_10_consigne_mm,lvdt_10_reel_mm,lvdt_10_ecart_mm,lvdt_11_consigne_mm,lvdt_11_reel_mm,lvdt_11_ecart_mm,lvdt_12_consigne_mm,lvdt_12_reel_mm,lvdt_12_ecart_mm,lvdt_13_consigne_mm,lvdt_13_reel_mm,lvdt_13_ecart_mm,lvdt_14_consigne_mm,lvdt_14_reel_mm,lvdt_14_ecart_mm,lvdt_15_consigne_mm,lvdt_15_reel_mm,lvdt_15_ecart_mm,lvdt_16_consigne_mm,lvdt_16_reel_mm,lvdt_16_ecart_mm,lvdt_17_consigne_mm,lvdt_17_reel_mm,lvdt_17_ecart_mm,lvdt_18_consigne_mm,lvdt_18_reel_mm,lvdt_18_ecart_mm,lvdt_19_consigne_mm,lvdt_19_reel_mm,lvdt_19_ecart_mm,lvdt_20_consigne_mm,lvdt_20_reel_mm,lvdt_20_ecart_mm,lvdt_21_consigne_mm,lvdt_21_reel_mm,lvdt_21_ecart_mm
2026-05-10 18:41:22,PIECE_A,FournA,10000,False,5,558.76,553.91,59.384,59.701,112.666,115.319,818.83,1005.5,157.16,157.77,143.86,143.68,16.25,4.74,1,1,M2225,3M1L3A_C,28.4974,124.958,0.00763,OK,OK,OK,OK,-0.0026,-0.042,0.00763,normal,852.3,816.53,808.23,847.51,986.95,997.08,983.27,990.16,36.1526,36.1335,-0.0191,27.0746,27.0448,-0.0298,19.8608,19.8043,-0.0565,44.8915,44.8847,-0.0068,22.5796,22.5218,-0.0578,21.1895,21.2576,0.0681,40.6362,40.6471,0.0109,46.3593,46.4299,0.0706,17.008,16.996,-0.012,26.7432,26.7441,0.0009,17.4657,17.3855,-0.0802,36.8977,36.8302,-0.0675,14.2669,14.2409,-0.026,32.0267,32.0475,0.0208,22.4069,22.349,-0.0579,45.3886,45.4124,0.0238,39.2937,39.3247,0.031,20.1477,20.211,0.0633,29.2676,29.2712,0.0036,41.1184,41.1278,0.0094,38.3272,38.2405,-0.0867
2026-05-10 18:41:27,PIECE_A,FournC,10001,False,1,442.53,464.11,53.084,52.944,101.11,99.886,814.71,878.26,174.7,174.62,139.87,140.94,28.62,4.97,2,2,M2224,3M1L3A_C,28.5007,124.996,0.00059,OK,OK,OK,OK,0.0007,-0.004,0.00059,normal,797.2,811.43,823.32,841.21,849.93,879.53,878.45,904.13,29.6873,29.5976,-0.0897,35.3593,35.2973,-0.062,31.4339,31.3623,-0.0716,45.4693,45.427,-0.0423,45.2701,45.1799,-0.0902,13.537,13.6049,0.0679,33.8021,33.7108,-0.0913,32.6914,32.7861,0.0947,14.668,14.6885,0.0205,28.6513,28.5929,-0.0584,19.6236,19.5973,-0.0263,21.456,21.3891,-0.0669,13.5778,13.5406,-0.0372,32.8235,32.7257,-0.0978,30.3682,30.3842,0.016,24.9364,24.8992,-0.0372,35.2418,35.1701,-0.0717,43.2751,43.1869,-0.0882,33.4557,33.3787,-0.077,17.0721,17.0811,0.009,32.5988,32.587,-0.0118
2026-05-10 18:41:32,PIECE_A,FournC,10002,True,2,528.34,531.92,90.293,88.847,85.427,86.248,1129.38,811.33,150.98,152.66,159.7,160.43,11.86,3.51,3,3,M2224,3M1L2A_C,28.4897,124.99,0.0117,OK,OK,OK,OK,-0.0103,-0.01,0.0117,normal,1133.39,1098.44,1113.73,1112.17,820.39,780.8,801.33,799.03,35.4859,35.4181,-0.0678,47.6988,47.728,0.0292,38.2277,38.319,0.0913,33.6213,33.6813,0.06,42.9713,42.8775,-0.0938,40.1686,40.1584,-0.0102,18.3709,18.4186,0.0477,19.6232,19.6209,-0.0023,42.5594,42.5317,-0.0277,42.9741,43.0056,0.0315,41.9398,41.964,0.0242,20.1335,20.0689,-0.0646,21.6596,21.5808,-0.0788,22.5368,22.4843,-0.0525,32.1425,32.0973,-0.0452,12.6224,12.5589,-0.0635,27.7793,27.8084,0.0291,24.3568,24.3577,0.0009,30.4381,30.3841,-0.054,25.7077,25.7617,0.054,42.3434,42.3191,-0.0243
2026-05-10 18:41:37,PIECE_A,FournB,10003,False,2,542.02,557.5,50.662,50.544,63.041,63.188,1067.08,1172.01,154.07,154.36,155.08,153.14,14.96,4.03,4,4,M2225,3M1L1A_C,28.4918,125.022,0.00314,OK,OK,OK,OK,-0.0082,0.022,0.00314,normal,1062.4,1064.31,1042.17,1067.4,1180.0,1140.51,1180.0,1180.0,15.9364,16.0187,0.0823,29.8464,29.8148,-0.0316,34.4443,34.4039,-0.0404,15.5222,15.4848,-0.0374,18.915,18.9585,0.0435,16.0165,15.9693,-0.0472,22.7298,22.7726,0.0428,38.47,38.5219,0.0519,32.7994,32.7051,-0.0943,36.7464,36.6723,-0.0741,38.7303,38.755,0.0247,38.4916,38.5763,0.0847,15.4149,15.3711,-0.0438,42.3449,42.3854,0.0405,34.0539,34.1479,0.094,29.8926,29.8326,-0.06,25.4879,25.5226,0.0347,31.2173,31.2411,0.0238,20.1452,20.2005,0.0553,21.8528,21.941,0.0882,33.6385,33.5589,-0.0796
2026-05-10 18:41:42,PIECE_A,FournB,10004,False,1,548.56,561.76,146.539,144.433,109.954,108.038,951.3,845.24,168.0,164.95,144.98,145.14,16.53,3.08,5,5,M2224,3M1L3A_C,28.4881,125.022,0.00226,OK,OK,OK,OK,-0.0119,0.022,0.00226,normal,930.3,925.76,919.58,942.74,836.53,854.99,848.07,853.59,13.9632,13.9119,-0.0513,36.1321,36.0502,-0.0819,33.6998,33.6813,-0.0185,35.5497,35.4761,-0.0736,30.8403,30.8008,-0.0395,19.281,19.2973,0.0163,23.5446,23.6151,0.0705,13.1712,13.1177,-0.0535,44.2019,44.1939,-0.008,14.9284,14.9946,0.0662,15.1621,15.1057,-0.0564,36.3949,36.4934,0.0985,37.6653,37.5935,-0.0718,45.2941,45.3548,0.0607,34.9565,35.0026,0.0461,36.8143,36.8341,0.0198,38.4919,38.5238,0.0319,27.7198,27.7152,-0.0046,12.6564,12.6011,-0.0553,40.5854,40.656,0.0706,16.8067,16.8072,0.0005
2026-05-10 18:41:47,PIECE_A,FournB,10005,False,3,512.15,513.18,97.009,94.955,118.121,118.446,906.99,937.49,151.57,151.64,148.56,148.98,12.42,5.02,6,6,M2225,3M1L1A_C,28.5058,125.008,0.00409,OK,OK,OK,OK,0.0058,0.008,0.00409,derive_1,924.54,920.39,897.7,888.6,926.71,922.52,922.64,938.66,17.8794,17.9143,0.0349,20.4617,20.5005,0.0388,22.3281,22.415,0.0869,34.2946,34.3051,0.0105,40.4349,40.4545,0.0196,17.6861,17.6429,-0.0432,42.2837,42.1917,-0.092,24.5031,24.4481,-0.055,42.4519,42.485,0.0331,16.3035,16.394,0.0905,16.5309,16.4695,-0.0614,18.1633,18.2066,0.0433,20.1445,20.0842,-0.0603,24.1393,24.1254,-0.0139,45.7279,45.8027,0.0748,18.1398,18.0517,-0.0881,42.4803,42.4331,-0.0472,47.1292,47.1345,0.0053,14.701,14.6889,-0.0121,24.315,24.2215,-0.0935,25.9918,25.9122,-0.0796
2026-05-10 18:41:52,PIECE_A,FournB,10006,False,5,458.38,438.4,83.464,82.867,138.485,142.042,1060.01,972.13,155.77,156.7,154.66,153.39,13.95,2.93,7,7,M2224,3M1L2A_C,28.5128,124.97,0.00449,OK,OK,OK,OK,0.0128,-0.03,0.00449,derive_2,1065.4,1067.54,1021.48,1042.65,980.52,971.94,981.42,976.01,26.6899,26.6245,-0.0654,20.135,20.2027,0.0677,14.5132,14.4797,-0.0335,33.3059,33.2712,-0.0347,43.2514,43.2813,0.0299,14.1918,14.1666,-0.0252,38.6562,38.7082,0.052,36.9991,37.018,0.0189,37.5224,37.5427,0.0203,20.507,20.5988,0.0918,38.3976,38.4797,0.0821,36.543,36.5707,0.0277,27.5555,27.6089,0.0534,35.8381,35.9188,0.0807,47.4983,47.4423,-0.056,22.9148,22.9617,0.0469,32.3713,32.3578,-0.0135,47.2666,47.2537,-0.0129,20.2623,20.2525,-0.0098,35.7905,35.8444,0.0539,13.528,13.575,0.047
2026-05-10 18:41:57,PIECE_A,FournC,10007,False,1,553.07,557.12,92.995,94.298,55.193,54.243,973.41,1209.37,162.17,161.74,122.52,121.72,17.21,4.26,8,8,M2224,3M1L3A_C,28.5302,124.993,0.0165,OK,OK,OK,OK,0.0302,-0.007,0.0165,derive_3,943.36,991.63,977.24,1001.26,1180.0,1180.0,1180.0,1180.0,32.3231,32.2267,-0.0964,37.674,37.7644,0.0904,13.4233,13.495,0.0717,16.387,16.3825,-0.0045,21.6156,21.5487,-0.0669,36.2813,36.2967,0.0154,24.9402,24.9836,0.0434,21.8767,21.8597,-0.017,42.591,42.6751,0.0841,42.2908,42.2084,-0.0824,46.9143,46.9596,0.0453,40.8139,40.7864,-0.0275,29.0289,29.0943,0.0654,45.079,45.0292,-0.0498,42.8262,42.799,-0.0272,20.2388,20.2452,0.0064,43.8474,43.7713,-0.0761,28.6229,28.5687,-0.0542,16.7559,16.8531,0.0972,41.2868,41.298,0.0112,39.5549,39.5678,0.0129
2026-05-10 18:42:02,PIECE_A,FournA,10008,False,2,560.45,545.99,78.015,76.963,54.944,55.62,1008.17,1138.07,150.88,149.82,149.51,149.08,12.16,7.21,9,9,M2224,3M1L1A_C,28.5308,125.004,0.01521,OK,OK,OK,OK,0.0308,0.004,0.01521,derive_4,998.08,1021.8,993.83,1034.4,1149.43,1127.65,1150.04,1152.57,45.8974,45.8637,-0.0337,43.9723,43.9752,0.0029,36.0923,36.029,-0.0633,26.8954,26.949,0.0536,17.6375,17.6363,-0.0012,14.494,14.4804,-0.0136,19.7809,19.7876,0.0067,47.7211,47.6856,-0.0355,39.5042,39.5052,0.001,39.0347,38.9504,-0.0843,35.9262,35.9166,-0.0096,40.0926,40.1156,0.023,26.2339,26.2841,0.0502,41.6159,41.6661,0.0502,40.237,40.2233,-0.0137,26.3974,26.3095,-0.0879,47.1217,47.1009,-0.0208,30.5564,30.528,-0.0284,19.4132,19.5111,0.0979,16.667,16.6727,0.0057,25.0519,25.0306,-0.0213
2026-05-10 18:42:07,PIECE_A,FournA,10009,False,5,503.3,516.59,76.707,76.58,94.697,92.841,1116.32,1123.4,155.44,155.43,144.3,144.37,26.65,2.13,10,10,M2225,3M1L3A_C,28.5428,125.022,0.01709,OK,OK,OK,OK,0.0428,0.022,0.01709,derive_5,1145.75,1138.43,1151.11,1154.74,1135.93,1147.27,1129.95,1128.71,31.958,31.9483,-0.0097,43.5221,43.4614,-0.0607,38.4757,38.5644,0.0887,44.0763,44.1139,0.0376,44.4402,44.3574,-0.0828,24.7491,24.7687,0.0196,37.4345,37.3534,-0.0811,29.8253,29.8902,0.0649,31.5802,31.6319,0.0517,25.6022,25.5989,-0.0033,18.3918,18.3874,-0.0044,37.2269,37.3101,0.0832,21.9859,21.9968,0.0109,46.2591,46.2983,0.0392,44.8019,44.8905,0.0886,20.2529,20.2248,-0.0281,46.006,45.9652,-0.0408,12.2484,12.1646,-0.0838,43.4824,43.5268,0.0444,23.1581,23.1498,-0.0083,15.0134,14.9441,-0.0693
