horodatage,pression_verin_1_consigne_bars,pression_verin_1_reel_bars,pression_verin_2_consigne_bars,pression_verin_2_reel_bars,pression_fouloir_consigne_bars,pression_fouloir_reel_bars,verin_1_position_1_consigne_mm,verin_1_position_1_lvdt_reel_mm,verin_2_position_1_consigne_mm,verin_2_position_1_lvdt_reel_mm,verin_1_position_2_consigne_mm,verin_1_position_2_lvdt_reel_mm,verin_2_position_2_consigne_mm,verin_2_position_2_lvdt_reel_mm,verin_1_position_3_consigne_mm,verin_1_position_3_lvdt_reel_mm,verin_2_position_3_consigne_mm,verin_2_position_3_lvdt_reel_mm,verin_1_position_4_consigne_mm,verin_1_position_4_lvdt_reel_mm,verin_2_position_4_consigne_mm,verin_2_position_4_lvdt_reel_mm,fouloir_position_consigne_mm,fouloir_position_lvdt_reel_mm,lvdt_brut_verin_1,lvdt_brut_verin_2,lvdt_brut_fouloir,four_gauche_1_consigne_C,four_gauche_1_reel_C,four_gauche_2_consigne_C,four_gauche_2_reel_C,four_droit_1_consigne_C,four_droit_1_reel_C,four_droit_2_consigne_C,four_droit_2_reel_C,matrice,machine,numero_programme,statut_cycle,modele,diametre_exterieur_mm,diametre_interieur_mm,hauteur_piece_mm,epaisseur_paroi_mm,conformite_diam_ext,conformite_diam_int,conformite_hauteur,conformite_paroi,conformite_globale,ecart_diam_ext_mm,ecart_diam_int_mm,ecart_hauteur_mm,ecart_paroi_mm,cp_diam_ext_50,cpk_diam_ext_50,cp_diam_int_50,cpk_diam_int_50,cp_hauteur_50,cpk_hauteur_50,cp_paroi_50,cpk_paroi_50,n_echantillon_cp,regime_anomalie
2026-05-10 18:41:22,242.261,243.486,126.567,126.578,119.413,121.631,14.208,14.192,18.998,18.926,3.707,3.771,10.657,10.667,21.835,21.843,10.691,10.709,4.355,4.333,13.625,13.633,2.313,2.342,12624,13650,7625,338.86,328.85,325.32,323.41,331.6,334.54,394.25,403.5,MAT_3,M1566D,PIECE_A,compression,PIECE_A,45.0053,28.5003,37.984,8.2454,OK,OK,OK,OK,OK,0.0053,0.0003,-0.016,-0.0046,,,,,,,,,1,normal
2026-05-10 18:41:27,196.302,197.957,162.519,163.752,57.719,58.256,22.944,22.905,17.391,17.439,13.344,13.357,3.278,3.359,14.286,14.253,8.902,8.893,5.171,5.118,9.598,9.623,10.828,10.772,13848,12138,11957,498.26,502.61,389.65,389.72,360.69,369.0,482.14,486.87,MAT_3,M1565D,PIECE_A,compression,PIECE_A,44.9995,28.5076,37.992,8.2499,OK,OK,OK,OK,OK,-0.0005,0.0076,-0.008,-0.0001,4.0582,3.8635,3.226,2.9725,5.6408,4.9548,3.1429,2.8919,2,normal
2026-05-10 18:41:32,281.387,282.232,191.936,189.904,139.759,141.738,11.339,11.333,16.115,16.121,19.019,19.059,1.374,1.368,21.03,21.029,23.658,23.614,16.986,16.989,3.44,3.446,4.544,4.561,15167,12667,8788,412.32,424.28,474.14,468.21,339.9,339.14,383.67,389.54,MAT_3,M1565D,PIECE_A,éjection,PIECE_A,44.9975,28.4985,37.997,8.2464,OK,OK,OK,OK,OK,-0.0025,-0.0015,-0.003,-0.0036,4.1246,4.0605,3.4546,3.3088,4.9641,4.511,4.2443,3.8482,3,normal
2026-05-10 18:41:37,115.371,115.773,118.585,119.982,133.41,134.42,13.759,13.769,12.907,12.911,16.445,16.398,19.436,19.371,1.146,1.113,12.671,12.633,10.964,10.892,2.458,2.497,17.024,17.079,12409,12944,15275,374.22,368.17,305.24,305.03,360.92,351.88,354.02,346.23,MAT_2,M1566D,PIECE_A,décompression,PIECE_A,44.9971,28.4967,37.992,8.2523,OK,OK,OK,OK,OK,-0.0029,-0.0033,-0.008,0.0023,4.4112,4.3986,3.4842,3.4317,6.0578,5.5191,3.1397,2.9795,4,normal
2026-05-10 18:41:42,290.048,294.237,150.499,149.39,105.787,107.148,12.49,12.483,16.24,16.233,17.92,17.886,17.024,17.081,18.353,18.371,16.143,16.128,12.49,12.448,2.066,2.079,4.331,4.32,14404,13433,8710,315.79,320.56,431.9,420.98,481.0,475.52,347.44,343.93,MAT_3,M1565D,PIECE_A,compression,PIECE_A,45.0017,28.5042,37.993,8.2494,OK,OK,OK,OK,OK,0.0017,0.0042,-0.007,-0.0006,4.9318,4.9086,3.7704,3.6615,6.8283,6.2533,3.5824,3.4225,5,normal
2026-05-10 18:41:47,207.504,206.843,185.7,187.564,66.291,65.639,7.978,7.988,13.514,13.532,19.168,19.201,7.924,7.891,5.04,5.038,6.134,6.077,5.546,5.544,22.971,22.97,1.98,2.045,11935,13300,7597,388.7,397.52,421.41,421.53,329.11,319.91,394.72,389.17,MAT_2,M1566G,PIECE_A,éjection,PIECE_A,45.006,28.513,37.994,8.2517,OK,OK,OK,OK,OK,0.006,0.013,-0.006,0.0017,4.3446,4.2404,2.7108,2.5283,7.416,6.8239,3.5761,3.4777,6,normal
2026-05-10 18:41:52,264.321,266.306,234.381,233.084,61.134,61.292,11.604,11.566,19.342,19.323,1.865,1.852,9.302,9.337,17.379,17.314,19.183,19.181,14.576,14.57,12.536,12.536,9.7,9.667,12782,14303,11445,443.78,450.79,346.17,354.35,361.28,351.5,383.18,385.99,MAT_2,M1566D,PIECE_A,éjection,PIECE_A,45.009,28.5026,38.002,8.2521,OK,OK,OK,OK,OK,0.009,0.0026,0.002,0.0021,3.6335,3.465,2.9659,2.7725,5.8544,5.4743,3.5961,3.5472,7,normal
2026-05-10 18:41:57,256.407,259.923,134.835,133.6,74.698,75.78,20.546,20.475,7.743,7.734,19.521,19.496,19.908,19.901,18.858,18.856,8.791,8.833,16.598,16.589,1.839,1.782,1.934,1.899,15927,12000,7443,447.93,452.44,407.75,418.27,325.69,324.59,420.24,419.66,MAT_4,M1566G,PIECE_A,attente,PIECE_A,45.0046,28.5014,37.994,8.2531,OK,OK,OK,OK,OK,0.0046,0.0014,-0.006,0.0031,3.8533,3.6522,3.1783,2.9857,6.3103,5.9082,3.5032,3.4999,8,normal
2026-05-10 18:42:02,240.295,241.501,118.594,120.366,141.179,143.615,10.881,10.885,12.173,12.177,7.133,7.185,2.712,2.703,22.003,22.043,12.86,12.938,16.432,16.393,14.13,14.147,16.402,16.466,13941,12460,14925,431.54,427.81,470.74,468.6,400.15,400.27,478.43,468.61,MAT_2,M1566G,PIECE_A,compression,PIECE_A,45.0084,28.5062,38.014,8.248,OK,OK,OK,OK,OK,0.0084,0.0062,0.014,-0.002,3.7192,3.4773,3.3198,3.0951,4.0202,3.8533,3.6301,3.6062,9,normal
2026-05-10 18:42:07,197.475,198.464,108.281,107.819,88.392,87.573,3.1,3.101,22.878,22.878,8.288,8.322,13.145,13.206,13.817,13.797,10.646,10.628,22.998,23.034,20.463,20.494,1.661,1.665,13037,15095,7374,362.91,368.98,406.73,417.45,437.9,425.63,343.52,345.8,MAT_4,M1566D,PIECE_A,éjection,PIECE_A,44.999,28.5175,38.0,8.2499,OK,OK,OK,OK,OK,-0.001,0.0175,-0.0,-0.0001,3.7613,3.5485,2.5646,2.3188,4.2055,4.0483,3.8498,3.8262,10,normal
